"","setor","classe_cnae","saldo"
"1","Agropecuária","Criação de bovinos",-3
"2","Agropecuária","Atividades paisagísticas",-2
"3","Agropecuária","Cultivo de café",-2
"4","Agropecuária","Cultivo de flores e plantas ornamentais",-2
"5","Agropecuária","Cultivo de plantas de lavoura permanente não especificadas anteriormente",-2
"6","Comércio","Comércio varejista especializado de móveis, colchoaria e artigos de iluminação",-33
"7","Comércio","Comércio de peças e acessórios para veículos automotores",-31
"8","Comércio","Comércio atacadista de produtos alimentícios em geral",-30
"9","Comércio","Comércio varejista de outros produtos novos não especificados anteriormente",-27
"10","Comércio","Comércio atacadista de equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente",-25
"11","Construção civil","Construção de edifícios",-95
"12","Construção civil","Obras de acabamento",-45
"13","Construção civil","Montagem de instalações industriais e de estruturas metálicas",-36
"14","Construção civil","Construção de redes de transportes por dutos, exceto para água e esgoto",-27
"15","Construção civil","Demolição e preparação de canteiros de obras",-24
"16","Indústria","Serviços de catering, bufê e outros serviços de comida preparada",-175
"17","Indústria","Fabricação de biscoitos e bolachas",-74
"18","Indústria","Fabricação de peças e acessórios para o sistema motor de veículos automotores",-64
"19","Indústria","Fabricação de geradores, transformadores e motores elétricos",-43
"20","Indústria","Fabricação de medicamentos para uso humano",-41
"21","Serviços","Ensino fundamental",-293
"22","Serviços","Educação infantil - pré-escola",-250
"23","Serviços","Educação superior - graduação e pós-graduação",-250
"24","Serviços","Atividades de limpeza não especificadas anteriormente",-216
"25","Serviços","Ensino médio",-187
