"","setor","classe_cnae","saldo"
"1","Agropecuária","Cultivo de frutas de lavoura permanente, exceto laranja e uva",7
"2","Agropecuária","Horticultura",7
"3","Agropecuária","Cultivo de flores e plantas ornamentais",5
"4","Agropecuária","Criação de bovinos",2
"5","Agropecuária","Cultivo de algodão herbáceo e de outras fibras de lavoura temporária",2
"6","Comércio","Comércio varejista de artigos do vestuário e acessórios",163
"7","Comércio","Comércio varejista de calçados e artigos de viagem",33
"8","Comércio","Comércio de peças e acessórios para veículos automotores",29
"9","Comércio","Comércio atacadista de hortifrutigranjeiros",27
"10","Comércio","Comércio varejista de artigos recreativos e esportivos",25
"11","Construção civil","Obras de acabamento",14
"12","Construção civil","Montagem de instalações industriais e de estruturas metálicas",12
"13","Construção civil","Instalações hidráulicas, de sistemas de ventilação e refrigeração",3
"14","Construção civil","Obras de engenharia civil não especificadas anteriormente",3
"15","Construção civil","Obras de terraplenagem",1
"16","Indústria","Serviços de catering, bufê e outros serviços de comida preparada",153
"17","Indústria","Fabricação de embalagens de material plástico",14
"18","Indústria","Fabricação de conservas de legumes e outros vegetais",9
"19","Indústria","Instalação de máquinas e equipamentos industriais",9
"20","Indústria","Fabricação de produtos de panificação",7
"21","Serviços","Atividades de vigilância e segurança privada",111
"22","Serviços","Atividades de limpeza não especificadas anteriormente",100
"23","Serviços","Limpeza em prédios e em domicílios",96
"24","Serviços","Atividades auxiliares dos transportes aéreos",55
"25","Serviços","Atividades de monitoramento de sistemas de segurança",53
