"","setor","classe_cnae","saldo"
"1","Agropecuária","Atividades de apoio à produção florestal",12
"2","Agropecuária","Cultivo de plantas de lavoura temporária não especificadas anteriormente",7
"3","Agropecuária","Cultivo de cereais",3
"4","Agropecuária","Criação de suínos",2
"5","Agropecuária","Aqüicultura em água doce",1
"6","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",458
"7","Comércio","Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",146
"8","Comércio","Comércio varejista de produtos farmacêuticos para uso humano e veterinário",101
"9","Comércio","Comércio varejista de ferragens, madeira e materiais de construção",80
"10","Comércio","Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios",78
"11","Construção civil","Instalações elétricas",431
"12","Construção civil","Instalações hidráulicas, de sistemas de ventilação e refrigeração",179
"13","Construção civil","Obras para geração e distribuição de energia elétrica e para telecomunicações",164
"14","Construção civil","Serviços especializados para construção não especificados anteriormente",135
"15","Construção civil","Construção de redes de transportes por dutos, exceto para água e esgoto",123
"16","Indústria","Fabricação de equipamentos transmissores de comunicação",77
"17","Indústria","Manutenção e reparação de máquinas e equipamentos da indústria mecânica",58
"18","Indústria","Fabricação de caminhões e ônibus",54
"19","Indústria","Fabricação de pneumáticos e de câmaras-de-ar",46
"20","Indústria","Transmissão de energia elétrica",45
"21","Serviços","Atividades de limpeza não especificadas anteriormente",690
"22","Serviços","Consultoria em tecnologia da informação",522
"23","Serviços","Serviços combinados para apoio a edifícios, exceto condomínios prediais",421
"24","Serviços","Atividades de vigilância e segurança privada",392
"25","Serviços","Transporte aéreo de passageiros regular",391
