"","setor","classe_cnae","saldo"
"1","Agropecuária","Cultivo de cana-de-açúcar",-5958
"2","Agropecuária","Atividades de apoio à agricultura",-3692
"3","Agropecuária","Cultivo de laranja",-2671
"4","Agropecuária","Criação de bovinos",-431
"5","Agropecuária","Aluguel de máquinas e equipamentos agrícolas sem operador",-392
"6","Comércio","Comércio varejista de outros produtos novos não especificados anteriormente",-892
"7","Comércio","Comércio varejista de ferragens, madeira e materiais de construção",-570
"8","Comércio","Comércio de peças e acessórios para veículos automotores",-391
"9","Comércio","Comércio atacadista de equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente",-371
"10","Comércio","Comércio varejista de livros, jornais, revistas e papelaria",-310
"11","Construção civil","Construção de edifícios",-3298
"12","Construção civil","Serviços especializados para construção não especificados anteriormente",-1004
"13","Construção civil","Obras para geração e distribuição de energia elétrica e para telecomunicações",-746
"14","Construção civil","Construção de rodovias e ferrovias",-712
"15","Construção civil","Obras de acabamento",-556
"16","Indústria","Fabricação de açúcar em bruto",-7272
"17","Indústria","Fabricação de calçados de couro",-3261
"18","Indústria","Confecção de peças do vestuário, exceto roupas íntimas",-3139
"19","Indústria","Fabricação de álcool",-1891
"20","Indústria","Fabricação de brinquedos e jogos recreativos",-1175
"21","Serviços","Administração pública em geral",-9624
"22","Serviços","Ensino fundamental",-6391
"23","Serviços","Transporte rodoviário de carga",-5176
"24","Serviços","Educação infantil - pré-escola",-3894
"25","Serviços","Atividades de ensino não especificadas anteriormente",-2664
