"","setor","classe_cnae","saldo"
"1","Agropecuária","Atividades de apoio à agricultura",4180
"2","Agropecuária","Cultivo de laranja",1947
"3","Agropecuária","Atividades paisagísticas",566
"4","Agropecuária","Criação de aves",433
"5","Agropecuária","Cultivo de plantas de lavoura temporária não especificadas anteriormente",429
"6","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",8972
"7","Comércio","Comércio varejista de ferragens, madeira e materiais de construção",2723
"8","Comércio","Comércio de peças e acessórios para veículos automotores",2292
"9","Comércio","Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios",2177
"10","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",1754
"11","Construção civil","Construção de edifícios",3926
"12","Construção civil","Instalações elétricas",2856
"13","Construção civil","Obras de urbanização - ruas, praças e calçadas",2093
"14","Construção civil","Obras de acabamento",1550
"15","Construção civil","Serviços especializados para construção não especificados anteriormente",1464
"16","Indústria","Serviços de catering, bufê e outros serviços de comida preparada",6831
"17","Indústria","Coleta de resíduos não-perigosos",3568
"18","Indústria","Manutenção e reparação de máquinas e equipamentos da indústria mecânica",1888
"19","Indústria","Fabricação de medicamentos para uso humano",1061
"20","Indústria","Fabricação de produtos de carne",902
"21","Serviços","Atividades de atendimento hospitalar",12761
"22","Serviços","Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas",9574
"23","Serviços","Atividades de serviços prestados principalmente às empresas não especificadas anteriormente",8787
"24","Serviços","Transporte rodoviário de carga",7720
"25","Serviços","Serviços combinados para apoio a edifícios, exceto condomínios prediais",6961
