"","setor","classe_cnae","saldo"
"1","Agropecuária","Cultivo de café",-76
"2","Agropecuária","Cultivo de cereais",-5
"3","Agropecuária","Criação de bovinos",-4
"4","Agropecuária","Atividades de apoio à agricultura",-1
"5","Agropecuária","Cultivo de cana-de-açúcar",-1
"6","Comércio","Comércio varejista de calçados e artigos de viagem",-73
"7","Comércio","Comércio varejista de ferragens, madeira e materiais de construção",-35
"8","Comércio","Comércio atacadista especializado de outros produtos intermediários não especificados anteriormente",-28
"9","Comércio","Comércio varejista especializado de tecidos e artigos de cama, mesa e banho",-22
"10","Comércio","Comércio atacadista de resíduos e sucatas",-14
"11","Construção civil","Construção de edifícios",-50
"12","Construção civil","Serviços especializados para construção não especificados anteriormente",-20
"13","Construção civil","Obras de urbanização - ruas, praças e calçadas",-14
"14","Construção civil","Instalações elétricas",-6
"15","Construção civil","Montagem de instalações industriais e de estruturas metálicas",-5
"16","Indústria","Fabricação de calçados de couro",-3127
"17","Indústria","Fabricação de partes para calçados, de qualquer material",-276
"18","Indústria","Fabricação de artefatos de borracha não especificados anteriormente",-72
"19","Indústria","Fabricação de artefatos de couro não especificados anteriormente",-34
"20","Indústria","Curtimento e outras preparações de couro",-30
"21","Serviços","Educação infantil - creche",-135
"22","Serviços","Atividades de ensino não especificadas anteriormente",-72
"23","Serviços","Ensino fundamental",-49
"24","Serviços","Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas",-31
"25","Serviços","Educação infantil - pré-escola",-27
