"","setor","classe_cnae","saldo"
"1","Agropecuária","Cultivo de cana-de-açúcar",-1220
"2","Agropecuária","Aluguel de máquinas e equipamentos agrícolas sem operador",-87
"3","Agropecuária","Produção de sementes certificadas",-81
"4","Agropecuária","Atividades de apoio à agricultura",-24
"5","Agropecuária","Criação de bovinos",-10
"6","Comércio","Comércio de peças e acessórios para veículos automotores",-55
"7","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",-43
"8","Comércio","Comércio varejista de outros produtos novos não especificados anteriormente",-22
"9","Comércio","Comércio atacadista de produtos farmacêuticos para uso humano e veterinário",-15
"10","Comércio","Comércio varejista de tintas e materiais para pintura",-15
"11","Construção civil","Construção de edifícios",-258
"12","Construção civil","Construção de rodovias e ferrovias",-55
"13","Construção civil","Obras de terraplenagem",-31
"14","Construção civil","Obras para geração e distribuição de energia elétrica e para telecomunicações",-29
"15","Construção civil","Perfurações e sondagens",-24
"16","Indústria","Fabricação de açúcar em bruto",-2470
"17","Indústria","Fabricação de álcool",-207
"18","Indústria","Confecção de peças do vestuário, exceto roupas íntimas",-50
"19","Indústria","Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação",-37
"20","Indústria","Fabricação de refrigerantes e de outras bebidas não-alcoólicas",-36
"21","Serviços","Administração pública em geral",-907
"22","Serviços","Transporte rodoviário de carga",-669
"23","Serviços","Ensino fundamental",-221
"24","Serviços","Educação infantil - pré-escola",-113
"25","Serviços","Transporte rodoviário coletivo de passageiros, sob regime de fretamento, e outros transportes rodoviários não especificados anteriormente",-96
