"","setor","classe_cnae","saldo"
"1","Agropecuária","Cultivo de frutas de lavoura permanente, exceto laranja e uva",47
"2","Agropecuária","Atividades de apoio à agricultura",44
"3","Agropecuária","Criação de animais não especificados anteriormente",30
"4","Agropecuária","Cultivo de plantas de lavoura temporária não especificadas anteriormente",9
"5","Agropecuária","Produção de mudas e outras formas de propagação vegetal, certificadas",2
"6","Comércio","Comércio varejista de artigos do vestuário e acessórios",137
"7","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",85
"8","Comércio","Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção",46
"9","Comércio","Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios",42
"10","Comércio","Comércio atacadista de produtos alimentícios em geral",28
"11","Construção civil","Montagem de instalações industriais e de estruturas metálicas",401
"12","Construção civil","Obras de instalações em construções não especificadas anteriormente",8
"13","Construção civil","Perfurações e sondagens",8
"14","Construção civil","Obras de fundações",1
"15","Construção civil","Abate de reses, exceto suínos",0
"16","Indústria","Manutenção e reparação de máquinas e equipamentos da indústria mecânica",70
"17","Indústria","Instalação de máquinas e equipamentos industriais",69
"18","Indústria","Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo",65
"19","Indústria","Serviços de usinagem, solda, tratamento e revestimento em metais",62
"20","Indústria","Fabricação de máquinas e equipamentos de uso geral não especificados anteriormente",61
"21","Serviços","Limpeza em prédios e em domicílios",88
"22","Serviços","Locação de meios de transporte, exceto automóveis, sem condutor",55
"23","Serviços","Clubes sociais, esportivos e similares",21
"24","Serviços","Transporte aéreo de passageiros regular",21
"25","Serviços","Serviços combinados para apoio a edifícios, exceto condomínios prediais",20
