"","setor","classe_cnae","saldo"
"1","Agropecuária","Aluguel de máquinas e equipamentos agrícolas sem operador",-30
"2","Agropecuária","Cultivo de cana-de-açúcar",-3
"3","Agropecuária","Atividades paisagísticas",-1
"4","Agropecuária","Cultivo de soja",-1
"5","Agropecuária","Abate de reses, exceto suínos",0
"6","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",-32
"7","Comércio","Comércio varejista de outros produtos novos não especificados anteriormente",-29
"8","Comércio","Comércio varejista de ferragens, madeira e materiais de construção",-27
"9","Comércio","Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo",-17
"10","Comércio","Comércio atacadista de produtos farmacêuticos para uso humano e veterinário",-14
"11","Construção civil","Construção de edifícios",-186
"12","Construção civil","Construção de rodovias e ferrovias",-55
"13","Construção civil","Obras de acabamento",-47
"14","Construção civil","Obras de urbanização - ruas, praças e calçadas",-21
"15","Construção civil","Serviços especializados para construção não especificados anteriormente",-10
"16","Indústria","Fabricação de refrigerantes e de outras bebidas não-alcoólicas",-37
"17","Indústria","Fabricação de produtos de panificação",-25
"18","Indústria","Fabricação de produtos alimentícios não especificados anteriormente",-21
"19","Indústria","Manutenção e reparação de máquinas e equipamentos da indústria mecânica",-21
"20","Indústria","Coleta de resíduos não-perigosos",-16
"21","Serviços","Ensino fundamental",-158
"22","Serviços","Educação infantil - pré-escola",-79
"23","Serviços","Educação superior - graduação",-74
"24","Serviços","Atividades de ensino não especificadas anteriormente",-58
"25","Serviços","Holdings de instituições não-financeiras",-53
