"","setor","classe_cnae","saldo"
"1","Agropecuária","Atividades de pós-colheita",1
"2","Agropecuária","Criação de bovinos",1
"3","Agropecuária","Abate de reses, exceto suínos",0
"4","Agropecuária","Abate de suínos, aves e outros pequenos animais",0
"5","Agropecuária","Acabamentos em fios, tecidos e artefatos têxteis",0
"6","Comércio","Comércio varejista de artigos do vestuário e acessórios",144
"7","Comércio","Comércio varejista de produtos farmacêuticos para uso humano e veterinário",55
"8","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",35
"9","Comércio","Comércio varejista de carnes e pescados - açougues e peixarias",30
"10","Comércio","Comércio varejista de artigos recreativos e esportivos",28
"11","Construção civil","Obras de instalações em construções não especificadas anteriormente",2
"12","Construção civil","Abate de reses, exceto suínos",0
"13","Construção civil","Abate de suínos, aves e outros pequenos animais",0
"14","Construção civil","Acabamentos em fios, tecidos e artefatos têxteis",0
"15","Construção civil","Administração de bolsas e mercados de balcão organizados",0
"16","Indústria","Fabricação de válvulas, registros e dispositivos semelhantes",13
"17","Indústria","Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação",8
"18","Indústria","Instalação de máquinas e equipamentos industriais",6
"19","Indústria","Fabricação de defensivos agrícolas",4
"20","Indústria","Fabricação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta",4
"21","Serviços","Atividades de teleatendimento",429
"22","Serviços","Atividades de atendimento hospitalar",120
"23","Serviços","Limpeza em prédios e em domicílios",97
"24","Serviços","Serviços combinados para apoio a edifícios, exceto condomínios prediais",37
"25","Serviços","Planos de saúde",34
