"","setor","classe_cnae","saldo"
"1","Agropecuária","Atividades paisagísticas",-2
"2","Agropecuária","Criação de bovinos",-2
"3","Agropecuária","Cultivo de cana-de-açúcar",-2
"4","Agropecuária","Horticultura",-2
"5","Agropecuária","Produção de mudas e outras formas de propagação vegetal, certificadas",-2
"6","Comércio","Comércio de peças e acessórios para veículos automotores",-28
"7","Comércio","Comércio varejista de combustíveis para veículos automotores",-24
"8","Comércio","Comércio varejista de livros, jornais, revistas e papelaria",-20
"9","Comércio","Comércio atacadista de equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente",-18
"10","Comércio","Comércio varejista de calçados e artigos de viagem",-17
"11","Construção civil","Construção de edifícios",-63
"12","Construção civil","Construção de rodovias e ferrovias",-44
"13","Construção civil","Serviços especializados para construção não especificados anteriormente",-42
"14","Construção civil","Montagem de instalações industriais e de estruturas metálicas",-34
"15","Construção civil","Obras de acabamento",-20
"16","Indústria","Confecção de peças do vestuário, exceto roupas íntimas",-248
"17","Indústria","Fabricação de açúcar em bruto",-41
"18","Indústria","Fabricação de artefatos para pesca e esporte",-14
"19","Indústria","Fabricação de especiarias, molhos, temperos e condimentos",-13
"20","Indústria","Fabricação de móveis com predominância de metal",-11
"21","Serviços","Ensino fundamental",-113
"22","Serviços","Educação infantil - pré-escola",-66
"23","Serviços","Ensino médio",-66
"24","Serviços","Locação de mão-de-obra temporária",-50
"25","Serviços","Serviços de assistência social sem alojamento",-38
