"","regiao_governo","saldo_100mil_hab","vagas_destruidas","vagas_criadas","massa_salarial_destruidas","massa_salarial_criadas","salario_medio_destruidas","salario_medio_criadas","saldo_vagas","saldo_massa_salarial","diferenca_salario_medio","pop","var_perc_massa_salarial","sentido_saldo"
"1","Adamantina",715.977569185297,11451,12512,17179788,17272561,1500.28713649463,1380.47961956522,1061,92773,-119.807516929412,148189,0.540012484438108,"Positivo"
"2","Andradina",702.926100269195,14571,16015,23645373,23511902,1622.7694049825,1468.11751482985,1444,-133471,-154.651890152652,205427,-0.564469843634947,"Positivo"
"3","Araçatuba",-208.144136500129,50567,49311,84701442,76226258,1675.03395495086,1545.82665125428,-1256,-8475184,-129.207303696573,603428,-10.0059500757968,"Negativo"
"4","Araraquara",591.732809877386,70731,74475,114041288,111708072,1612.32398806747,1499.94054380665,3744,-2333216,-112.38344426082,632718,-2.04593971264162,"Positivo"
"5","Assis",248.697710824327,16977,17622,28515393,27296571,1679.64852447429,1549.00527749404,645,-1218822,-130.643246980247,259351,-4.27425987080031,"Positivo"
"6","Avaré",7.36371602565519,12531,12541,17419209,16952956,1390.08929853962,1351.80256757834,10,-466253,-38.2867309612786,135801,-2.67666000218494,"Positivo"
"7","Barretos",1236.15766707599,52306,57893,82040925,83989225,1568.48019347685,1450.76650026774,5587,1948300,-117.713693209112,451965,2.37479038662716,"Positivo"
"8","Bauru",477.741321589112,73664,76812,120311729,116070475,1633.25001357515,1511.09820080196,3148,-4241254,-122.151812773194,658934,-3.52522072058328,"Positivo"
"9","Botucatu",392.622236810544,30770,32014,45386020,45213898,1475.00877478063,1412.31642406447,1244,-172122,-62.6923507161587,316844,-0.379240127246231,"Positivo"
"10","Bragança Paulista",312.18995532905,54836,56746,97949670,93736395,1786.22930191845,1651.85907376731,1910,-4213275,-134.370228151134,611807,-4.30146931582312,"Positivo"
"11","Campinas",327.970767182355,376339,387692,753679842,694739887,2002.6620732903,1791.98922598351,11353,-58939955,-210.672847306792,3461589,-7.8202907541741,"Positivo"
"12","Caraguatatuba",463.005641115615,25407,26964,39751994,39384408,1564.60794269296,1460.6292834891,1557,-367586,-103.978659203862,336281,-0.92469826796613,"Positivo"
"13","Catanduva",-109.317579197097,25861,25532,43728470,40247855,1690.90406403465,1576.36906626978,-329,-3480615,-114.534997764868,300958,-7.95960846560605,"Negativo"
"14","Cruzeiro",125.509883903357,4629,4793,8313846,7406973,1796.03499675956,1545.37304402253,164,-906873,-250.661952737026,130667,-10.9079841026644,"Positivo"
"15","Dracena",989.714575508328,8309,9558,12591411,14018365,1515.39427127211,1466.66300481272,1249,1426954,-48.7312664593921,126198,11.3327569086578,"Positivo"
"16","Fernandópolis",194.156243770098,10781,11005,17347410,16683685,1609.07244225953,1516.00954111767,224,-663725,-93.0629011418569,115371,-3.82607547754967,"Positivo"
"17","Franca",231.954537559916,59785,61214,95044522,92170346,1589.77204984528,1505.70696245957,1429,-2874176,-84.0650873857107,616069,-3.02403120087237,"Positivo"
"18","Guaratinguetá",240.662383850879,21809,22665,34372057,33216119,1576.04919987161,1465.52477388043,856,-1155938,-110.52442599118,355685,-3.36301665041461,"Positivo"
"19","Itapetininga",191.094634331426,41420,42387,69829868,64073471,1685.89734427813,1511.6302404039,967,-5756397,-174.267103874229,506032,-8.24345966112953,"Positivo"
"20","Itapeva",210.611253821724,41514,42652,56307055,55762997,1356.33894589777,1307.39465910157,1138,-544058,-48.9442867962032,540332,-0.966234160177619,"Positivo"
"21","Jales",43.527580657926,8896,8962,13433151,13517916,1510.02147032374,1508.35929480027,66,84765,-1.66217552347302,151628,0.631013527652596,"Positivo"
"22","Jaú",18.6614746297252,29053,29113,46199047,43347979,1590.16442363956,1488.95610208498,60,-2851068,-101.208321554576,321518,-6.17127015628699,"Positivo"
"23","Jundiaí",341.223265930947,107101,110342,223033297,198591521,2082.45765212276,1799.78177847057,3241,-24441776,-282.675873652189,949818,-10.9588013667753,"Positivo"
"24","Limeira",410.853840385707,66354,69236,118163591,113130666,1780.80584441028,1633.98616326766,2882,-5032925,-146.81968114262,701466,-4.25928575579596,"Positivo"
"25","Lins",-200.669996545844,13379,13013,21792413,19577780,1628.85215636445,1504.47859832475,-366,-2214633,-124.373558039699,182389,-10.1624037686878,"Negativo"
"26","Marília",416.078029144815,29187,30692,48928517,46283929,1676.38047760989,1508.01280463965,1505,-2644588,-168.367672970249,361711,-5.40500338483588,"Positivo"
"27","Ourinhos",868.539340096157,19129,21183,29371630,31364748,1535.4503633227,1480.65656422603,2054,1993118,-54.7937990966734,236489,6.78586105027198,"Positivo"
"28","Piracicaba",133.001918716204,60602,61395,113870865,105648021,1878.99516517607,1720.79193745419,793,-8222844,-158.203227721877,596232,-7.22120096303826,"Positivo"
"29","Presidente Prudente",137.994554287251,37173,38030,61004229,57588068,1641.08974255508,1514.27998948199,857,-3416161,-126.809753073092,621039,-5.59987570697763,"Positivo"
"30","Registro",145.206232094502,13276,13683,20122492,20456730,1515.70442904489,1495.04713878535,407,334238,-20.657290259539,280291,1.66101693567576,"Positivo"
"31","Ribeirão Preto",432.461633997666,165629,171841,288612804,277545643,1742.52578956584,1615.13051600026,6212,-11067161,-127.395273565581,1436428,-3.83460499555661,"Positivo"
"32","Rio Claro",331.252810028828,30678,31680,53376782,50285107,1739.90423104505,1587.28241792929,1002,-3091675,-152.621813115756,302488,-5.79217195971087,"Positivo"
"33","Santos",162.860774408879,106399,109437,190912280,179163741,1794.30520963543,1637.14046437676,3038,-11748539,-157.164745258664,1865397,-6.15389381971657,"Positivo"
"34","São Carlos",83.6841661118977,42665,43022,71445501,66359030,1674.56934255244,1542.44409836828,357,-5086471,-132.125244184167,426604,-7.11937200916262,"Positivo"
"35","São João da Boa Vista",-54.5940387280185,41859,41584,60687381,57288152,1449.80484483624,1377.64890342439,-275,-3399229,-72.1559414118422,503718,-5.60121221906083,"Negativo"
