"","setor","classe_cnae","saldo"
"1","Agropecuária","Cultivo de café",-5
"2","Agropecuária","Cultivo de frutas de lavoura permanente, exceto laranja e uva",-5
"3","Agropecuária","Criação de bovinos",-2
"4","Agropecuária","Cultivo de flores e plantas ornamentais",-2
"5","Agropecuária","Produção de sementes certificadas",-2
"6","Comércio","Comércio de peças e acessórios para veículos automotores",-17
"7","Comércio","Comércio varejista de combustíveis para veículos automotores",-15
"8","Comércio","Comércio atacadista de produtos alimentícios em geral",-13
"9","Comércio","Comércio atacadista de resíduos e sucatas",-11
"10","Comércio","Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",-10
"11","Construção civil","Obras para geração e distribuição de energia elétrica e para telecomunicações",-19
"12","Construção civil","Construção de rodovias e ferrovias",-10
"13","Construção civil","Obras de terraplenagem",-8
"14","Construção civil","Obras de instalações em construções não especificadas anteriormente",-2
"15","Construção civil","Construção de edifícios",-1
"16","Indústria","Fabricação de peças e acessórios para o sistema motor de veículos automotores",-23
"17","Indústria","Fabricação de componentes eletrônicos",-16
"18","Indústria","Fabricação de biscoitos e bolachas",-15
"19","Indústria","Abate de reses, exceto suínos",-14
"20","Indústria","Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",-10
"21","Serviços","Atividades de teleatendimento",-102
"22","Serviços","Educação infantil - creche",-60
"23","Serviços","Condomínios prediais",-39
"24","Serviços","Atividades de limpeza não especificadas anteriormente",-34
"25","Serviços","Manutenção e reparação de veículos automotores",-28
