"","setor","classe_cnae","saldo"
"1","Agropecuária","Criação de bovinos",-14
"2","Agropecuária","Cultivo de café",-1
"3","Agropecuária","Cultivo de plantas de lavoura permanente não especificadas anteriormente",-1
"4","Agropecuária","Horticultura",-1
"5","Agropecuária","Abate de reses, exceto suínos",0
"6","Comércio","Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios",-56
"7","Comércio","Comércio varejista de livros, jornais, revistas e papelaria",-14
"8","Comércio","Comércio varejista de ferragens, madeira e materiais de construção",-10
"9","Comércio","Comércio atacadista especializado em produtos alimentícios não especificados anteriormente",-8
"10","Comércio","Comércio varejista de combustíveis para veículos automotores",-6
"11","Construção civil","Obras para geração e distribuição de energia elétrica e para telecomunicações",-93
"12","Construção civil","Construção de edifícios",-37
"13","Construção civil","Demolição e preparação de canteiros de obras",-29
"14","Construção civil","Montagem de instalações industriais e de estruturas metálicas",-28
"15","Construção civil","Obras de engenharia civil não especificadas anteriormente",-11
"16","Indústria","Serviços de catering, bufê e outros serviços de comida preparada",-76
"17","Indústria","Fabricação de peças e acessórios para veículos automotores não especificados anteriormente",-22
"18","Indústria","Fabricação de embalagens de material plástico",-18
"19","Indústria","Fabricação de peças e acessórios para o sistema motor de veículos automotores",-14
"20","Indústria","Fabricação de produtos de metal não especificados anteriormente",-12
"21","Serviços","Bancos múltiplos, com carteira comercial",-46
"22","Serviços","Condomínios prediais",-36
"23","Serviços","Educação superior - graduação e pós-graduação",-30
"24","Serviços","Atividades de atendimento hospitalar",-29
"25","Serviços","Envasamento e empacotamento sob contrato",-28
