"","setor","classe_cnae","saldo"
"1","Agropecuária","Atividades paisagísticas",-37
"2","Agropecuária","Atividades de apoio à pecuária",-16
"3","Agropecuária","Criação de bovinos",-15
"4","Agropecuária","Cultivo de flores e plantas ornamentais",-14
"5","Agropecuária","Cultivo de algodão herbáceo e de outras fibras de lavoura temporária",-12
"6","Comércio","Comércio varejista especializado de equipamentos de telefonia e comunicação",-204
"7","Comércio","Comércio varejista de artigos do vestuário e acessórios",-133
"8","Comércio","Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios",-91
"9","Comércio","Comércio atacadista de equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente",-75
"10","Comércio","Comércio varejista especializado de móveis, colchoaria e artigos de iluminação",-71
"11","Construção civil","Construção de edifícios",-149
"12","Construção civil","Perfurações e sondagens",-34
"13","Construção civil","Obras de urbanização - ruas, praças e calçadas",-18
"14","Construção civil","Obras de fundações",-6
"15","Construção civil","Construção de obras-de-arte especiais",-1
"16","Indústria","Fabricação de peças e acessórios para o sistema motor de veículos automotores",-222
"17","Indústria","Fabricação de componentes eletrônicos",-175
"18","Indústria","Fabricação de pneumáticos e de câmaras-de-ar",-129
"19","Indústria","Fabricação de biscoitos e bolachas",-127
"20","Indústria","Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação",-83
"21","Serviços","Atividades de teleatendimento",-1497
"22","Serviços","Atividades de atendimento hospitalar",-1190
"23","Serviços","Bancos múltiplos, com carteira comercial",-198
"24","Serviços","Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas",-141
"25","Serviços","Condomínios prediais",-117
