"","setor","classe_cnae","saldo"
"1","Agropecuária","Criação de outros animais de grande porte",4
"2","Agropecuária","Atividades paisagísticas",2
"3","Agropecuária","Cultivo de algodão herbáceo e de outras fibras de lavoura temporária",1
"4","Agropecuária","Cultivo de cereais",1
"5","Agropecuária","Abate de reses, exceto suínos",0
"6","Comércio","Comércio varejista de artigos do vestuário e acessórios",306
"7","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",137
"8","Comércio","Comércio varejista de calçados e artigos de viagem",120
"9","Comércio","Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios",50
"10","Comércio","Comércio atacadista de carnes, produtos da carne e pescado",33
"11","Construção civil","Instalações elétricas",23
"12","Construção civil","Montagem de instalações industriais e de estruturas metálicas",18
"13","Construção civil","Obras de engenharia civil não especificadas anteriormente",18
"14","Construção civil","Obras de acabamento",17
"15","Construção civil","Serviços especializados para construção não especificados anteriormente",12
"16","Indústria","Serviços de catering, bufê e outros serviços de comida preparada",88
"17","Indústria","Manutenção e reparação de máquinas e equipamentos da indústria mecânica",34
"18","Indústria","Confecção de peças do vestuário, exceto roupas íntimas",24
"19","Indústria","Fabricação de produtos de panificação",14
"20","Indústria","Fabricação de máquinas e equipamentos de uso geral não especificados anteriormente",13
"21","Serviços","Limpeza em prédios e em domicílios",166
"22","Serviços","Consultoria em tecnologia da informação",78
"23","Serviços","Transporte aéreo de passageiros regular",43
"24","Serviços","Atividades de recreação e lazer não especificadas anteriormente",31
"25","Serviços","Serviços combinados para apoio a edifícios, exceto condomínios prediais",31
