"","setor","classe_cnae","saldo"
"1","Agropecuária","Atividades de apoio à produção florestal",10
"2","Agropecuária","Cultivo de plantas de lavoura temporária não especificadas anteriormente",3
"3","Agropecuária","Criação de suínos",2
"4","Agropecuária","Cultivo de café",2
"5","Agropecuária","Cultivo de plantas de lavoura permanente não especificadas anteriormente",2
"6","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",414
"7","Comércio","Comércio varejista de produtos farmacêuticos para uso humano e veterinário",131
"8","Comércio","Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",123
"9","Comércio","Comércio varejista de artigos de uso doméstico não especificados anteriormente",92
"10","Comércio","Comércio varejista de ferragens, madeira e materiais de construção",84
"11","Construção civil","Instalações elétricas",427
"12","Construção civil","Instalações hidráulicas, de sistemas de ventilação e refrigeração",163
"13","Construção civil","Obras de acabamento",154
"14","Construção civil","Construção de redes de transportes por dutos, exceto para água e esgoto",150
"15","Construção civil","Serviços especializados para construção não especificados anteriormente",140
"16","Indústria","Fabricação de equipamentos transmissores de comunicação",76
"17","Indústria","Manutenção e reparação de máquinas e equipamentos da indústria mecânica",65
"18","Indústria","Fabricação de instrumentos e materiais para uso médico e odontológico e de artigos ópticos",60
"19","Indústria","Fabricação de geradores, transformadores e motores elétricos",46
"20","Indústria","Fabricação de produtos de panificação",46
"21","Serviços","Atividades de limpeza não especificadas anteriormente",1006
"22","Serviços","Consultoria em tecnologia da informação",517
"23","Serviços","Atividades de vigilância e segurança privada",456
"24","Serviços","Transporte aéreo de passageiros regular",390
"25","Serviços","Serviços combinados para apoio a edifícios, exceto condomínios prediais",354
