"","setor","classe_cnae","saldo"
"1","Agropecuária","Cultivo de cana-de-açúcar",-6019
"2","Agropecuária","Atividades de apoio à agricultura",-2363
"3","Agropecuária","Cultivo de plantas de lavoura temporária não especificadas anteriormente",-427
"4","Agropecuária","Cultivo de laranja",-266
"5","Agropecuária","Aluguel de máquinas e equipamentos agrícolas sem operador",-236
"6","Comércio","Comércio de peças e acessórios para veículos automotores",-119
"7","Comércio","Comércio atacadista de resíduos e sucatas",-117
"8","Comércio","Comércio atacadista de papel e papelão em bruto e de embalagens",-47
"9","Comércio","Comércio atacadista de computadores, periféricos e suprimentos de informática",-42
"10","Comércio","Comércio atacadista de tecidos, artefatos de tecidos e de armarinho",-35
"11","Construção civil","Construção de edifícios",-485
"12","Construção civil","Obras de engenharia civil não especificadas anteriormente",-379
"13","Construção civil","Obras para geração e distribuição de energia elétrica e para telecomunicações",-235
"14","Construção civil","Serviços especializados para construção não especificados anteriormente",-196
"15","Construção civil","Construção de obras-de-arte especiais",-191
"16","Indústria","Fabricação de açúcar em bruto",-8952
"17","Indústria","Fabricação de álcool",-1243
"18","Indústria","Fabricação de automóveis, camionetas e utilitários",-1063
"19","Indústria","Fabricação de peças e acessórios para veículos automotores não especificados anteriormente",-753
"20","Indústria","Fabricação de calçados de couro",-594
"21","Serviços","Transporte rodoviário de carga",-3075
"22","Serviços","Bancos múltiplos, com carteira comercial",-931
"23","Serviços","Fornecimento e gestão de recursos humanos para terceiros",-754
"24","Serviços","Outras atividades de telecomunicações",-616
"25","Serviços","Atividades de vigilância e segurança privada",-467
