"","setor","classe_cnae","saldo"
"1","Agropecuária","Cultivo de cana-de-açúcar",-4588
"2","Agropecuária","Cultivo de café",-1000
"3","Agropecuária","Criação de bovinos",-837
"4","Agropecuária","Cultivo de plantas de lavoura permanente não especificadas anteriormente",-227
"5","Agropecuária","Aqüicultura em água doce",-115
"6","Comércio","Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo",-2223
"7","Comércio","Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios",-1306
"8","Comércio","Comércio varejista de combustíveis para veículos automotores",-889
"9","Comércio","Comércio varejista de calçados e artigos de viagem",-857
"10","Comércio","Comércio varejista especializado de equipamentos de telefonia e comunicação",-522
"11","Construção civil","Construção de rodovias e ferrovias",-1938
"12","Construção civil","Construção de obras-de-arte especiais",-1104
"13","Construção civil","Obras para geração e distribuição de energia elétrica e para telecomunicações",-1048
"14","Construção civil","Abate de reses, exceto suínos",0
"15","Construção civil","Abate de suínos, aves e outros pequenos animais",0
"16","Indústria","Fabricação de automóveis, camionetas e utilitários",-4208
"17","Indústria","Confecção de peças do vestuário, exceto roupas íntimas",-3339
"18","Indústria","Fabricação de açúcar em bruto",-2947
"19","Indústria","Fabricação de peças e acessórios para veículos automotores não especificados anteriormente",-2332
"20","Indústria","Fabricação de peças e acessórios para o sistema motor de veículos automotores",-1381
"21","Serviços","Atividades de limpeza não especificadas anteriormente",-3807
"22","Serviços","Condomínios prediais",-3533
"23","Serviços","Atividades de teleatendimento",-3071
"24","Serviços","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal e em região metropolitana",-2646
"25","Serviços","Bancos múltiplos, com carteira comercial",-1958
