"","setor","classe_cnae","saldo"
"1","Agropecuária","Criação de animais não especificados anteriormente",239
"2","Agropecuária","Atividades paisagísticas",170
"3","Agropecuária","Produção florestal - florestas plantadas",149
"4","Agropecuária","Cultivo de frutas de lavoura permanente, exceto laranja e uva",99
"5","Agropecuária","Criação de aves",77
"6","Comércio","Comércio varejista de artigos do vestuário e acessórios",7569
"7","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",5241
"8","Comércio","Comércio varejista de calçados e artigos de viagem",3573
"9","Comércio","Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios",2256
"10","Comércio","Comércio varejista de outros produtos novos não especificados anteriormente",1364
"11","Construção civil","Montagem de instalações industriais e de estruturas metálicas",876
"12","Construção civil","Instalações hidráulicas, de sistemas de ventilação e refrigeração",311
"13","Construção civil","Instalações elétricas",254
"14","Construção civil","Obras de urbanização - ruas, praças e calçadas",191
"15","Construção civil","Obras de instalações em construções não especificadas anteriormente",110
"16","Indústria","Serviços de catering, bufê e outros serviços de comida preparada",689
"17","Indústria","Fabricação de obras de caldeiraria pesada",373
"18","Indústria","Instalação de máquinas e equipamentos industriais",270
"19","Indústria","Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica",267
"20","Indústria","Fabricação de válvulas, registros e dispositivos semelhantes",220
"21","Serviços","Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas",4588
"22","Serviços","Locação de mão-de-obra temporária",3622
"23","Serviços","Atividades de teleatendimento",3045
"24","Serviços","Limpeza em prédios e em domicílios",2064
"25","Serviços","Atividades relacionadas à organização do transporte de carga",1094
