"","setor","classe_cnae","saldo"
"1","Agropecuária","Atividades de apoio à agricultura",4220
"2","Agropecuária","Cultivo de laranja",3128
"3","Agropecuária","Cultivo de plantas de lavoura temporária não especificadas anteriormente",629
"4","Agropecuária","Produção florestal - florestas plantadas",534
"5","Agropecuária","Atividades paisagísticas",514
"6","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",8546
"7","Comércio","Comércio varejista de ferragens, madeira e materiais de construção",2362
"8","Comércio","Comércio de peças e acessórios para veículos automotores",2303
"9","Comércio","Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios",2047
"10","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",1539
"11","Construção civil","Construção de edifícios",3899
"12","Construção civil","Instalações elétricas",2434
"13","Construção civil","Obras de urbanização - ruas, praças e calçadas",2037
"14","Construção civil","Obras de acabamento",1868
"15","Construção civil","Montagem de instalações industriais e de estruturas metálicas",1705
"16","Indústria","Serviços de catering, bufê e outros serviços de comida preparada",8288
"17","Indústria","Coleta de resíduos não-perigosos",2748
"18","Indústria","Manutenção e reparação de máquinas e equipamentos da indústria mecânica",1827
"19","Indústria","Fabricação de medicamentos para uso humano",1159
"20","Indústria","Fabricação de cabines, carrocerias e reboques para veículos automotores",912
"21","Serviços","Atividades de atendimento hospitalar",10713
"22","Serviços","Atividades de serviços prestados principalmente às empresas não especificadas anteriormente",9476
"23","Serviços","Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas",8868
"24","Serviços","Serviços combinados para apoio a edifícios, exceto condomínios prediais",7068
"25","Serviços","Locação de mão-de-obra temporária",6651
