"","setor","classe_cnae","saldo"
"1","Agropecuária","Criação de bovinos",-1
"2","Agropecuária","Cultivo de soja",-1
"3","Agropecuária","Abate de reses, exceto suínos",0
"4","Agropecuária","Abate de suínos, aves e outros pequenos animais",0
"5","Agropecuária","Acabamentos em fios, tecidos e artefatos têxteis",0
"6","Comércio","Comércio varejista de ferragens, madeira e materiais de construção",-16
"7","Comércio","Comércio varejista de outros produtos novos não especificados anteriormente",-10
"8","Comércio","Comércio de peças e acessórios para veículos automotores",-5
"9","Comércio","Comércio varejista de bebidas",-5
"10","Comércio","Comércio varejista especializado de tecidos e artigos de cama, mesa e banho",-5
"11","Construção civil","Obras de urbanização - ruas, praças e calçadas",-32
"12","Construção civil","Construção de edifícios",-15
"13","Construção civil","Obras de instalações em construções não especificadas anteriormente",-7
"14","Construção civil","Montagem de instalações industriais e de estruturas metálicas",-6
"15","Construção civil","Obras de engenharia civil não especificadas anteriormente",-5
"16","Indústria","Fabricação de calçados de couro",-616
"17","Indústria","Fabricação de partes para calçados, de qualquer material",-80
"18","Indústria","Fabricação de artefatos de borracha não especificados anteriormente",-19
"19","Indústria","Confecção de peças do vestuário, exceto roupas íntimas",-17
"20","Indústria","Fabricação de chapas e de embalagens de papelão ondulado",-11
"21","Serviços","Atividades de ensino não especificadas anteriormente",-13
"22","Serviços","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal e em região metropolitana",-13
"23","Serviços","Atividades de associações de defesa de direitos sociais",-10
"24","Serviços","Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas",-8
"25","Serviços","Serviços combinados para apoio a edifícios, exceto condomínios prediais",-7
