"","setor","classe_cnae","saldo"
"1","Agropecuária","Criação de bovinos",-2
"2","Agropecuária","Cultivo de cana-de-açúcar",-2
"3","Agropecuária","Atividades de apoio à agricultura",-1
"4","Agropecuária","Cultivo de plantas de lavoura permanente não especificadas anteriormente",-1
"5","Agropecuária","Abate de reses, exceto suínos",0
"6","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",-42
"7","Comércio","Comércio varejista de outros produtos novos não especificados anteriormente",-30
"8","Comércio","Comércio varejista especializado de móveis, colchoaria e artigos de iluminação",-8
"9","Comércio","Comércio varejista de bebidas",-7
"10","Comércio","Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",-7
"11","Construção civil","Instalações hidráulicas, de sistemas de ventilação e refrigeração",-12
"12","Construção civil","Construção de edifícios",-6
"13","Construção civil","Obras de instalações em construções não especificadas anteriormente",-2
"14","Construção civil","Obras para geração e distribuição de energia elétrica e para telecomunicações",-2
"15","Construção civil","Obras de acabamento",-1
"16","Indústria","Fabricação de calçados de couro",-513
"17","Indústria","Fabricação de partes para calçados, de qualquer material",-145
"18","Indústria","Curtimento e outras preparações de couro",-13
"19","Indústria","Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material",-8
"20","Indústria","Fabricação de produtos de metal não especificados anteriormente",-8
"21","Serviços","Atividades de ensino não especificadas anteriormente",-15
"22","Serviços","Educação infantil - creche",-12
"23","Serviços","Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas",-12
"24","Serviços","Atividades de contabilidade, consultoria e auditoria contábil e tributária",-11
"25","Serviços","Planos de saúde",-7
