"","setor","classe_cnae","saldo"
"1","Agropecuária","Cultivo de cereais",1
"2","Agropecuária","Horticultura",1
"3","Agropecuária","Abate de reses, exceto suínos",0
"4","Agropecuária","Abate de suínos, aves e outros pequenos animais",0
"5","Agropecuária","Acabamentos em fios, tecidos e artefatos têxteis",0
"6","Comércio","Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios",37
"7","Comércio","Comércio varejista de artigos do vestuário e acessórios",27
"8","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",11
"9","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",11
"10","Comércio","Comércio varejista de artigos recreativos e esportivos",10
"11","Construção civil","Obras de instalações em construções não especificadas anteriormente",2
"12","Construção civil","Abate de reses, exceto suínos",0
"13","Construção civil","Abate de suínos, aves e outros pequenos animais",0
"14","Construção civil","Acabamentos em fios, tecidos e artefatos têxteis",0
"15","Construção civil","Administração de bolsas e mercados de balcão organizados",0
"16","Indústria","Desdobramento de madeira",8
"17","Indústria","Fabricação de artefatos de tapeçaria",3
"18","Indústria","Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal",3
"19","Indústria","Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados",3
"20","Indústria","Atividades relacionadas a esgoto, exceto a gestão de redes",2
"21","Serviços","Serviços combinados para apoio a edifícios, exceto condomínios prediais",15
"22","Serviços","Atividades de contabilidade, consultoria e auditoria contábil e tributária",8
"23","Serviços","Limpeza em prédios e em domicílios",8
"24","Serviços","Fotocópias, preparação de documentos e outros serviços especializados de apoio administrativo",7
"25","Serviços","Educação profissional de nível técnico",6
