"","setor","classe_cnae","saldo"
"1","Agropecuária","Cultivo de laranja",-113
"2","Agropecuária","Cultivo de cana-de-açúcar",-109
"3","Agropecuária","Aluguel de máquinas e equipamentos agrícolas sem operador",-103
"4","Agropecuária","Cultivo de café",-27
"5","Agropecuária","Produção de sementes certificadas",-22
"6","Comércio","Comércio varejista de ferragens, madeira e materiais de construção",-62
"7","Comércio","Comércio varejista especializado de móveis, colchoaria e artigos de iluminação",-22
"8","Comércio","Comércio varejista de livros, jornais, revistas e papelaria",-19
"9","Comércio","Comércio atacadista de cosméticos, produtos de perfumaria e de higiene pessoal",-18
"10","Comércio","Comércio de peças e acessórios para veículos automotores",-18
"11","Construção civil","Construção de edifícios",-193
"12","Construção civil","Instalações elétricas",-37
"13","Construção civil","Obras de terraplenagem",-34
"14","Construção civil","Serviços especializados para construção não especificados anteriormente",-32
"15","Construção civil","Instalações hidráulicas, de sistemas de ventilação e refrigeração",-19
"16","Indústria","Fabricação de açúcar em bruto",-522
"17","Indústria","Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação",-66
"18","Indústria","Fabricação de produtos derivados do cacau, de chocolates e confeitos",-62
"19","Indústria","Fabricação de refrigerantes e de outras bebidas não-alcoólicas",-54
"20","Indústria","Fabricação de produtos alimentícios não especificados anteriormente",-35
"21","Serviços","Administração pública em geral",-941
"22","Serviços","Ensino fundamental",-285
"23","Serviços","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal e em região metropolitana",-203
"24","Serviços","Educação infantil - pré-escola",-146
"25","Serviços","Transporte rodoviário de carga",-141
