"","setor","classe_cnae","saldo"
"1","Agropecuária","Atividades de apoio à produção florestal",-75
"2","Agropecuária","Criação de aves",-73
"3","Agropecuária","Criação de bovinos",-50
"4","Agropecuária","Cultivo de café",-28
"5","Agropecuária","Produção florestal - florestas plantadas",-23
"6","Comércio","Comércio varejista de combustíveis para veículos automotores",-163
"7","Comércio","Comércio varejista de artigos do vestuário e acessórios",-136
"8","Comércio","Comércio varejista especializado de equipamentos de telefonia e comunicação",-101
"9","Comércio","Comércio varejista de livros, jornais, revistas e papelaria",-51
"10","Comércio","Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo",-37
"11","Construção civil","Instalações elétricas",-382
"12","Construção civil","Construção de edifícios",-286
"13","Construção civil","Obras de fundações",-88
"14","Construção civil","Obras de urbanização - ruas, praças e calçadas",-51
"15","Construção civil","Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",-27
"16","Indústria","Fabricação de açúcar em bruto",-293
"17","Indústria","Fabricação de produtos alimentícios não especificados anteriormente",-174
"18","Indústria","Coleta de resíduos não-perigosos",-169
"19","Indústria","Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal",-146
"20","Indústria","Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação",-138
"21","Serviços","Atividades de teleatendimento",-1385
"22","Serviços","Transporte rodoviário coletivo de passageiros, sob regime de fretamento, e outros transportes rodoviários não especificados anteriormente",-254
"23","Serviços","Bancos múltiplos, com carteira comercial",-142
"24","Serviços","Serviços combinados para apoio a edifícios, exceto condomínios prediais",-131
"25","Serviços","Atividades de serviços prestados principalmente às empresas não especificadas anteriormente",-106
