"","setor","classe_cnae","saldo"
"1","Agropecuária","Cultivo de café",58
"2","Agropecuária","Criação de animais não especificados anteriormente",41
"3","Agropecuária","Cultivo de frutas de lavoura permanente, exceto laranja e uva",34
"4","Agropecuária","Criação de aves",3
"5","Agropecuária","Cultivo de flores e plantas ornamentais",3
"6","Comércio","Comércio varejista de artigos do vestuário e acessórios",130
"7","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",53
"8","Comércio","Comércio varejista de produtos farmacêuticos para uso humano e veterinário",50
"9","Comércio","Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças",47
"10","Comércio","Comércio varejista de carnes e pescados - açougues e peixarias",34
"11","Construção civil","Montagem de instalações industriais e de estruturas metálicas",567
"12","Construção civil","Serviços especializados para construção não especificados anteriormente",94
"13","Construção civil","Instalações elétricas",16
"14","Construção civil","Obras de instalações em construções não especificadas anteriormente",1
"15","Construção civil","Obras portuárias, marítimas e fluviais",1
"16","Indústria","Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo",109
"17","Indústria","Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos",53
"18","Indústria","Fabricação de válvulas, registros e dispositivos semelhantes",50
"19","Indústria","Manutenção e reparação de máquinas e equipamentos da indústria mecânica",49
"20","Indústria","Instalação de máquinas e equipamentos industriais",46
"21","Serviços","Atividades de teleatendimento",430
"22","Serviços","Atividades de atendimento hospitalar",114
"23","Serviços","Limpeza em prédios e em domicílios",87
"24","Serviços","Serviços de arquitetura",70
"25","Serviços","Clubes sociais, esportivos e similares",58
