"","setor","classe_cnae","saldo"
"1","Agropecuária","Aluguel de máquinas e equipamentos agrícolas sem operador",-22
"2","Agropecuária","Cultivo de flores e plantas ornamentais",-1
"3","Agropecuária","Cultivo de soja",-1
"4","Agropecuária","Produção de sementes certificadas",-1
"5","Agropecuária","Abate de reses, exceto suínos",0
"6","Comércio","Comércio de peças e acessórios para veículos automotores",-16
"7","Comércio","Comércio a varejo e por atacado de veículos automotores",-10
"8","Comércio","Comércio varejista de artigos usados",-7
"9","Comércio","Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes",-7
"10","Comércio","Comércio atacadista de bebidas",-5
"11","Construção civil","Construção de edifícios",-134
"12","Construção civil","Obras de acabamento",-55
"13","Construção civil","Serviços especializados para construção não especificados anteriormente",-11
"14","Construção civil","Obras de urbanização - ruas, praças e calçadas",-5
"15","Construção civil","Obras de terraplenagem",-4
"16","Indústria","Coleta de resíduos não-perigosos",-60
"17","Indústria","Fabricação de produtos alimentícios não especificados anteriormente",-29
"18","Indústria","Edição de livros",-28
"19","Indústria","Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação",-15
"20","Indústria","Serviços de catering, bufê e outros serviços de comida preparada",-12
"21","Serviços","Atividades de teleatendimento",-302
"22","Serviços","Serviços combinados para apoio a edifícios, exceto condomínios prediais",-35
"23","Serviços","Ensino fundamental",-24
"24","Serviços","Serviços combinados de escritório e apoio administrativo",-23
"25","Serviços","Bancos múltiplos, com carteira comercial",-20
