"","setor","classe_cnae","saldo"
"1","Agropecuária","Cultivo de soja",-12
"2","Agropecuária","Criação de animais não especificados anteriormente",-4
"3","Agropecuária","Aluguel de máquinas e equipamentos agrícolas sem operador",-3
"4","Agropecuária","Atividades de apoio à pecuária",-2
"5","Agropecuária","Atividades de pós-colheita",-2
"6","Comércio","Comércio varejista de combustíveis para veículos automotores",-108
"7","Comércio","Comércio varejista de artigos do vestuário e acessórios",-101
"8","Comércio","Comércio varejista especializado de equipamentos de telefonia e comunicação",-95
"9","Comércio","Comércio varejista de artigos recreativos e esportivos",-40
"10","Comércio","Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios",-26
"11","Construção civil","Instalações elétricas",-432
"12","Construção civil","Obras de acabamento",-168
"13","Construção civil","Construção de edifícios",-43
"14","Construção civil","Obras de urbanização - ruas, praças e calçadas",-38
"15","Construção civil","Obras de engenharia civil não especificadas anteriormente",-28
"16","Indústria","Coleta de resíduos não-perigosos",-179
"17","Indústria","Fabricação de produtos alimentícios não especificados anteriormente",-162
"18","Indústria","Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação",-113
"19","Indústria","Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação",-98
"20","Indústria","Fabricação de produtos de panificação",-78
"21","Serviços","Atividades de teleatendimento",-1382
"22","Serviços","Atividades de associações de defesa de direitos sociais",-137
"23","Serviços","Bancos múltiplos, com carteira comercial",-131
"24","Serviços","Serviços combinados para apoio a edifícios, exceto condomínios prediais",-114
"25","Serviços","Serviços de assistência social sem alojamento",-110
