"","setor","classe_cnae","saldo"
"1","Agropecuária","Criação de animais não especificados anteriormente",13
"2","Agropecuária","Atividades de apoio à agricultura",6
"3","Agropecuária","Atividades paisagísticas",6
"4","Agropecuária","Criação de outros animais de grande porte",1
"5","Agropecuária","Abate de reses, exceto suínos",0
"6","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",182
"7","Comércio","Comércio varejista de artigos do vestuário e acessórios",158
"8","Comércio","Comércio varejista de calçados e artigos de viagem",143
"9","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",50
"10","Comércio","Comércio varejista de produtos farmacêuticos para uso humano e veterinário",45
"11","Construção civil","Instalações elétricas",59
"12","Construção civil","Construção de rodovias e ferrovias",21
"13","Construção civil","Serviços especializados para construção não especificados anteriormente",14
"14","Construção civil","Instalações hidráulicas, de sistemas de ventilação e refrigeração",12
"15","Construção civil","Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",7
"16","Indústria","Manutenção e reparação de máquinas e equipamentos da indústria mecânica",21
"17","Indústria","Fabricação de produtos de panificação",12
"18","Indústria","Edição de livros",10
"19","Indústria","Instalação de máquinas e equipamentos industriais",10
"20","Indústria","Serviços de catering, bufê e outros serviços de comida preparada",10
"21","Serviços","Atividades de teleatendimento",191
"22","Serviços","Limpeza em prédios e em domicílios",162
"23","Serviços","Concessionárias de rodovias, pontes, túneis e serviços relacionados",87
"24","Serviços","Transporte rodoviário de carga",45
"25","Serviços","Serviços combinados para apoio a edifícios, exceto condomínios prediais",36
