"","setor","classe_cnae","saldo"
"1","Agropecuária","Cultivo de cana-de-açúcar",16
"2","Agropecuária","Atividades de apoio à agricultura",10
"3","Agropecuária","Atividades paisagísticas",8
"4","Agropecuária","Produção de sementes certificadas",7
"5","Agropecuária","Atividades de apoio à produção florestal",2
"6","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",249
"7","Comércio","Comércio varejista de outros produtos novos não especificados anteriormente",153
"8","Comércio","Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios",138
"9","Comércio","Comércio atacadista de produtos alimentícios em geral",133
"10","Comércio","Comércio varejista de artigos de uso doméstico não especificados anteriormente",85
"11","Construção civil","Serviços especializados para construção não especificados anteriormente",147
"12","Construção civil","Obras para geração e distribuição de energia elétrica e para telecomunicações",45
"13","Construção civil","Instalações hidráulicas, de sistemas de ventilação e refrigeração",43
"14","Construção civil","Montagem de instalações industriais e de estruturas metálicas",28
"15","Construção civil","Perfurações e sondagens",6
"16","Indústria","Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",42
"17","Indústria","Fabricação de embalagens de material plástico",41
"18","Indústria","Instalação de máquinas e equipamentos industriais",34
"19","Indústria","Fabricação de produtos químicos inorgânicos não especificados anteriormente",24
"20","Indústria","Fabricação de máquinas-ferramenta",22
"21","Serviços","Atividades de atendimento hospitalar",895
"22","Serviços","Transporte rodoviário de carga",394
"23","Serviços","Limpeza em prédios e em domicílios",363
"24","Serviços","Serviços combinados de escritório e apoio administrativo",322
"25","Serviços","Transporte aéreo de passageiros regular",245
