"","setor","classe_cnae","saldo"
"1","Agropecuária","Criação de bovinos",-5
"2","Agropecuária","Produção de mudas e outras formas de propagação vegetal, certificadas",-3
"3","Agropecuária","Cultivo de cana-de-açúcar",-1
"4","Agropecuária","Abate de reses, exceto suínos",0
"5","Agropecuária","Abate de suínos, aves e outros pequenos animais",0
"6","Comércio","Comércio varejista de produtos farmacêuticos para uso humano e veterinário",-20
"7","Comércio","Comércio atacadista de equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente",-15
"8","Comércio","Comércio atacadista especializado em produtos alimentícios não especificados anteriormente",-10
"9","Comércio","Comércio varejista especializado de equipamentos e suprimentos de informática",-9
"10","Comércio","Comércio de peças e acessórios para veículos automotores",-7
"11","Construção civil","Construção de edifícios",-40
"12","Construção civil","Montagem de instalações industriais e de estruturas metálicas",-19
"13","Construção civil","Construção de rodovias e ferrovias",-18
"14","Construção civil","Obras de acabamento",-18
"15","Construção civil","Serviços especializados para construção não especificados anteriormente",-16
"16","Indústria","Fabricação de açúcar em bruto",-91
"17","Indústria","Confecção de peças do vestuário, exceto roupas íntimas",-14
"18","Indústria","Fabricação de medicamentos para uso humano",-11
"19","Indústria","Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",-10
"20","Indústria","Fabricação de estruturas metálicas",-10
"21","Serviços","Locação de mão-de-obra temporária",-112
"22","Serviços","Fornecimento e gestão de recursos humanos para terceiros",-38
"23","Serviços","Atividades de ensino não especificadas anteriormente",-30
"24","Serviços","Incorporação de empreendimentos imobiliários",-16
"25","Serviços","Serviços de engenharia",-12
