"","setor","classe_cnae","saldo"
"1","Agropecuária","Criação de bovinos",-57
"2","Agropecuária","Atividades paisagísticas",-20
"3","Agropecuária","Atividades de apoio à agricultura",-19
"4","Agropecuária","Cultivo de flores e plantas ornamentais",-12
"5","Agropecuária","Aluguel de máquinas e equipamentos agrícolas sem operador",-9
"6","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",-348
"7","Comércio","Comércio varejista de combustíveis para veículos automotores",-51
"8","Comércio","Comércio varejista especializado de equipamentos de telefonia e comunicação",-46
"9","Comércio","Comércio varejista de outros produtos novos não especificados anteriormente",-43
"10","Comércio","Comércio varejista especializado de equipamentos e suprimentos de informática",-35
"11","Construção civil","Construção de edifícios",-208
"12","Construção civil","Serviços especializados para construção não especificados anteriormente",-46
"13","Construção civil","Obras de instalações em construções não especificadas anteriormente",-32
"14","Construção civil","Obras de acabamento",-27
"15","Construção civil","Obras de terraplenagem",-17
"16","Indústria","Fabricação de móveis com predominância de madeira",-84
"17","Indústria","Lapidação de gemas e fabricação de artefatos de ourivesaria e joalheria",-53
"18","Indústria","Fundição de metais não-ferrosos e suas ligas",-30
"19","Indústria","Fabricação de massas alimentícias",-21
"20","Indústria","Fabricação de geradores, transformadores e motores elétricos",-18
"21","Serviços","Administração pública em geral",-425
"22","Serviços","Fornecimento e gestão de recursos humanos para terceiros",-358
"23","Serviços","Educação infantil - creche",-132
"24","Serviços","Atividades de cobrança e informações cadastrais",-90
"25","Serviços","Atividades de associações de defesa de direitos sociais",-87
