"","setor","classe_cnae","saldo"
"1","Agropecuária","Atividades paisagísticas",3
"2","Agropecuária","Criação de bovinos",1
"3","Agropecuária","Horticultura",1
"4","Agropecuária","Abate de reses, exceto suínos",0
"5","Agropecuária","Abate de suínos, aves e outros pequenos animais",0
"6","Comércio","Comércio varejista de artigos do vestuário e acessórios",114
"7","Comércio","Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes",100
"8","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",60
"9","Comércio","Comércio varejista de calçados e artigos de viagem",48
"10","Comércio","Comércio varejista especializado de móveis, colchoaria e artigos de iluminação",41
"11","Construção civil","Instalações elétricas",15
"12","Construção civil","Construção de rodovias e ferrovias",10
"13","Construção civil","Obras para geração e distribuição de energia elétrica e para telecomunicações",7
"14","Construção civil","Construção de obras-de-arte especiais",6
"15","Construção civil","Montagem de instalações industriais e de estruturas metálicas",4
"16","Indústria","Fabricação de cabines, carrocerias e reboques para veículos automotores",17
"17","Indústria","Coleta de resíduos não-perigosos",16
"18","Indústria","Preservação do pescado e fabricação de produtos do pescado",13
"19","Indústria","Fabricação de especiarias, molhos, temperos e condimentos",10
"20","Indústria","Fabricação de artefatos de material plástico não especificados anteriormente",8
"21","Serviços","Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas",36
"22","Serviços","Atividades de vigilância e segurança privada",21
"23","Serviços","Portais, provedores de conteúdo e outros serviços de informação na internet",15
"24","Serviços","Atividades de serviços prestados principalmente às empresas não especificadas anteriormente",13
"25","Serviços","Serviços combinados de escritório e apoio administrativo",13
