"","setor","classe_cnae","saldo"
"1","Agropecuária","Horticultura",6
"2","Agropecuária","Cultivo de cana-de-açúcar",2
"3","Agropecuária","Atividades de apoio à pecuária",1
"4","Agropecuária","Produção de mudas e outras formas de propagação vegetal, certificadas",1
"5","Agropecuária","Abate de reses, exceto suínos",0
"6","Comércio","Comércio varejista de ferragens, madeira e materiais de construção",154
"7","Comércio","Comércio varejista de produtos farmacêuticos para uso humano e veterinário",134
"8","Comércio","Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes",132
"9","Comércio","Comércio varejista especializado de móveis, colchoaria e artigos de iluminação",72
"10","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",59
"11","Construção civil","Construção de rodovias e ferrovias",96
"12","Construção civil","Instalações hidráulicas, de sistemas de ventilação e refrigeração",24
"13","Construção civil","Construção de obras-de-arte especiais",19
"14","Construção civil","Instalações elétricas",11
"15","Construção civil","Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",9
"16","Indústria","Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica",49
"17","Indústria","Fabricação de produtos de carne",40
"18","Indústria","Fabricação de estruturas metálicas",37
"19","Indústria","Fabricação de especiarias, molhos, temperos e condimentos",36
"20","Indústria","Fabricação de açúcar em bruto",34
"21","Serviços","Atividades de atendimento hospitalar",512
"22","Serviços","Atividades de vigilância e segurança privada",272
"23","Serviços","Atividades auxiliares dos serviços financeiros não especificadas anteriormente",215
"24","Serviços","Planos de saúde",108
"25","Serviços","Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas",108
