"","setor","classe_cnae","saldo"
"1","Agropecuária","Atividades de apoio à agricultura",-4
"2","Agropecuária","Abate de reses, exceto suínos",0
"3","Agropecuária","Abate de suínos, aves e outros pequenos animais",0
"4","Agropecuária","Acabamentos em fios, tecidos e artefatos têxteis",0
"5","Agropecuária","Administração de bolsas e mercados de balcão organizados",0
"6","Comércio","Comércio atacadista de combustíveis sólidos, líquidos e gasosos, exceto gás natural e GLP",-16
"7","Comércio","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",-3
"8","Comércio","Comércio a varejo e por atacado de veículos automotores",-2
"9","Comércio","Comércio atacadista de carnes, produtos da carne e pescado",-2
"10","Comércio","Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo",-2
"11","Construção civil","Construção de edifícios",-9
"12","Construção civil","Obras de instalações em construções não especificadas anteriormente",-1
"13","Construção civil","Abate de reses, exceto suínos",0
"14","Construção civil","Abate de suínos, aves e outros pequenos animais",0
"15","Construção civil","Acabamentos em fios, tecidos e artefatos têxteis",0
"16","Indústria","Fabricação de açúcar em bruto",-736
"17","Indústria","Manutenção e reparação de equipamentos eletrônicos e ópticos",-8
"18","Indústria","Fabricação de aparelhos e equipamentos de medida, teste e controle",-6
"19","Indústria","Fundição de ferro e aço",-4
"20","Indústria","Fabricação de componentes eletrônicos",-3
"21","Serviços","Transporte rodoviário de carga",-385
"22","Serviços","Transporte rodoviário coletivo de passageiros, sob regime de fretamento, e outros transportes rodoviários não especificados anteriormente",-14
"23","Serviços","Carga e descarga",-8
"24","Serviços","Atividades de consultoria em gestão empresarial",-7
"25","Serviços","Aluguel de máquinas e equipamentos para construção sem operador",-6
