"","setor","classe_cnae","saldo"
"1","Agropecuária","Criação de animais não especificados anteriormente",4
"2","Agropecuária","Cultivo de plantas de lavoura permanente não especificadas anteriormente",2
"3","Agropecuária","Abate de reses, exceto suínos",0
"4","Agropecuária","Abate de suínos, aves e outros pequenos animais",0
"5","Agropecuária","Acabamentos em fios, tecidos e artefatos têxteis",0
"6","Comércio","Comércio varejista de ferragens, madeira e materiais de construção",73
"7","Comércio","Comércio varejista de outros produtos novos não especificados anteriormente",31
"8","Comércio","Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças",30
"9","Comércio","Comércio atacadista de máquinas, aparelhos e equipamentos não especificados anteriormente; partes e peças",18
"10","Comércio","Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios",7
"11","Construção civil","Montagem de instalações industriais e de estruturas metálicas",322
"12","Construção civil","Serviços especializados para construção não especificados anteriormente",94
"13","Construção civil","Obras de acabamento",39
"14","Construção civil","Instalações elétricas",4
"15","Construção civil","Obras de instalações em construções não especificadas anteriormente",1
"16","Indústria","Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo",86
"17","Indústria","Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos",61
"18","Indústria","Manutenção e reparação de máquinas e equipamentos da indústria mecânica",48
"19","Indústria","Fabricação de obras de caldeiraria pesada",43
"20","Indústria","Instalação de máquinas e equipamentos industriais",39
"21","Serviços","Serviços de arquitetura",69
"22","Serviços","Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas",45
"23","Serviços","Clubes sociais, esportivos e similares",30
"24","Serviços","Serviços combinados de escritório e apoio administrativo",25
"25","Serviços","Serviços de engenharia",12
