"municipio","Codmun7","pop","vagas_criadas","vagas_destruidas","saldo"
"Ribeirão Preto",3543402,703293,97131,94311,2820
"Sertãozinho",3551702,125815,20013,18970,1043
"Cravinhos",3513108,35292,4458,3959,499
"Serrana",3551504,45107,2778,2464,314
"Pontal",3540200,49961,4571,4262,309
"Guariba",3518602,40105,3514,3285,229
"Luís Antônio",3527603,14947,3594,3369,225
"Brodowski",3507803,24939,2446,2268,178
"Cajuru",3509403,26167,2095,1934,161
"Jaboticabal",3524303,77263,7367,7241,126
"Pitangueiras",3539509,39719,3697,3573,124
"São Simão",3550902,15322,1177,1087,90
"Monte Alto",3531308,50498,4962,4884,78
"Jardinópolis",3525102,44380,3771,3711,60
"Santa Cruz da Esperança",3546256,2139,95,68,27
"Serra Azul",3551405,14662,283,264,19
"Pradópolis",3540903,21496,1981,1966,15
"Santa Rosa de Viterbo",3547601,26540,1577,1564,13
"Dumont",3514601,9868,706,699,7
"Santo Antônio da Alegria",3547908,6929,441,434,7
"Taquaral",3553658,2811,91,93,-2
"Cássia dos Coqueiros",3510906,2523,155,176,-21
"Guatapará",3518859,7656,266,287,-21
"Altinópolis",3501004,16184,1657,1698,-41
"Barrinha",3505609,32812,3015,3062,-47
